#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0211_4_167w.pdb 0.731 0.916 0.632 0.85626 High High
allpdb0211_4_25w.pdb 0.622 2.279 1.236 0.71682 Medium Medium
allpdb0211_4_46w.pdb 0.118 21.962 10.546 0.08925 Incorrect Incorrect
allpdb0211_4_19w.pdb 0.555 2.549 1.290 0.68229 Medium Medium
allpdb0211_4_13w.pdb 0.563 2.198 1.167 0.70775 Medium Medium
allpdb0211_4_47w.pdb 0.563 2.603 1.202 0.69541 Medium Medium
allpdb0211_4_11w.pdb 0.000 70.730 31.245 0.00551 Incorrect Incorrect
allpdb0211_4_35w.pdb 0.487 2.570 1.370 0.64959 Medium Medium
allpdb0211_4_161w.pdb 0.571 2.789 1.505 0.65752 Medium Medium
allpdb0211_4_170w.pdb 0.437 4.149 2.238 0.51817 Medium Medium
allpdb0211_4_33w.pdb 0.479 2.724 1.373 0.64328 Medium Medium
allpdb0211_4_155w.pdb 0.563 3.145 1.722 0.62472 Medium Medium
allpdb0211_4_15w.pdb 0.395 3.676 2.017 0.53117 Medium Medium
allpdb0211_4_10w.pdb 0.000 68.106 30.358 0.00592 Incorrect Incorrect
allpdb0211_4_18w.pdb 0.387 3.540 1.830 0.54690 Medium Medium
allpdb0211_4_37w.pdb 0.361 4.267 1.998 0.50688 Medium Medium
allpdb0211_4_4w.pdb 0.000 70.625 31.237 0.00553 Incorrect Incorrect
allpdb0211_4_134w.pdb 0.261 7.191 3.357 0.33660 Acceptable Acceptable
allpdb0211_4_196w.pdb 0.050 15.036 7.469 0.11045 Incorrect Incorrect
allpdb0211_4_43w.pdb 0.269 4.217 2.200 0.46293 Acceptable Acceptable
allpdb0211_4_21w.pdb 0.067 21.645 10.254 0.07393 Incorrect Incorrect
allpdb0211_4_7w.pdb 0.429 3.038 1.641 0.59012 Medium Medium
allpdb0211_4_23w.pdb 0.109 19.236 9.337 0.09925 Incorrect Incorrect
allpdb0211_4_20w.pdb 0.092 20.484 9.521 0.08785 Incorrect Incorrect
allpdb0211_4_57w.pdb 0.025 24.571 13.083 0.04836 Incorrect Incorrect
allpdb0211_4_164w.pdb 0.403 3.618 2.175 0.52410 Medium Medium
allpdb0211_4_106w.pdb 0.151 15.174 6.928 0.14496 Incorrect Incorrect
allpdb0211_4_56w.pdb 0.000 34.823 17.820 0.02109 Incorrect Incorrect
allpdb0211_4_22w.pdb 0.076 22.513 10.338 0.07367 Incorrect Incorrect
allpdb0211_4_28w.pdb 0.437 3.141 1.611 0.59379 Medium Medium
allpdb0211_4_70w.pdb 0.008 19.993 12.407 0.05863 Incorrect Incorrect
allpdb0211_4_176w.pdb 0.143 16.193 8.011 0.13091 Incorrect Incorrect
allpdb0211_4_6w.pdb 0.000 71.837 32.388 0.00532 Incorrect Incorrect
allpdb0211_4_200w.pdb 0.008 29.225 18.855 0.03089 Incorrect Incorrect
allpdb0211_4_30w.pdb 0.277 4.801 2.749 0.42163 Acceptable Acceptable
allpdb0211_4_32w.pdb 0.118 9.183 4.186 0.23097 Acceptable Acceptable
allpdb0211_4_113w.pdb 0.218 6.508 3.404 0.33717 Acceptable Acceptable
allpdb0211_4_24w.pdb 0.076 21.611 10.418 0.07664 Incorrect Incorrect
allpdb0211_4_157w.pdb 0.000 77.795 40.783 0.00438 Incorrect Incorrect
allpdb0211_4_185w.pdb 0.000 77.460 40.776 0.00442 Incorrect Incorrect
allpdb0211_4_135w.pdb 0.269 7.540 2.586 0.36010 Acceptable Acceptable
allpdb0211_4_58w.pdb 0.000 67.807 30.061 0.00598 Incorrect Incorrect
allpdb0211_4_172w.pdb 0.387 3.562 1.894 0.54087 Medium Medium
allpdb0211_4_111w.pdb 0.067 13.763 6.557 0.13102 Incorrect Incorrect
allpdb0211_4_29w.pdb 0.101 20.889 9.813 0.08858 Incorrect Incorrect
allpdb0211_4_118w.pdb 0.067 20.587 9.896 0.07844 Incorrect Incorrect
allpdb0211_4_158w.pdb 0.252 10.287 3.831 0.26359 Acceptable Acceptable
allpdb0211_4_120w.pdb 0.000 74.637 43.219 0.00467 Incorrect Incorrect
allpdb0211_4_117w.pdb 0.000 75.502 43.557 0.00457 Incorrect Incorrect
allpdb0211_4_103w.pdb 0.000 77.699 43.301 0.00434 Incorrect Incorrect
allpdb0211_4_93w.pdb 0.042 12.148 6.221 0.14188 Incorrect Incorrect
allpdb0211_4_60w.pdb 0.042 28.348 14.000 0.04529 Incorrect Incorrect
allpdb0211_4_59w.pdb 0.000 75.437 35.578 0.00477 Incorrect Incorrect
allpdb0211_4_89w.pdb 0.084 17.441 7.751 0.10402 Incorrect Incorrect
allpdb0211_4_41w.pdb 0.059 13.939 6.953 0.12478 Incorrect Incorrect
allpdb0211_4_66w.pdb 0.017 14.765 9.255 0.09711 Incorrect Incorrect
allpdb0211_4_2w.pdb 0.000 71.849 31.857 0.00534 Incorrect Incorrect
allpdb0211_4_64w.pdb 0.000 68.335 30.478 0.00588 Incorrect Incorrect
allpdb0211_4_165w.pdb 0.269 9.388 3.526 0.29088 Acceptable Acceptable
allpdb0211_4_159w.pdb 0.286 12.284 4.413 0.23768 Incorrect Acceptable
allpdb0211_4_14w.pdb 0.050 8.941 5.053 0.20204 Incorrect Incorrect
allpdb0211_4_9w.pdb 0.000 70.610 31.080 0.00554 Incorrect Incorrect
allpdb0211_4_72w.pdb 0.000 76.948 37.742 0.00454 Incorrect Incorrect
allpdb0211_4_178w.pdb 0.000 29.577 18.815 0.02753 Incorrect Incorrect
allpdb0211_4_119w.pdb 0.000 86.282 46.329 0.00355 Incorrect Incorrect
allpdb0211_4_124w.pdb 0.034 21.173 13.085 0.06179 Incorrect Incorrect
allpdb0211_4_160w.pdb 0.000 43.605 22.714 0.01365 Incorrect Incorrect
allpdb0211_4_125w.pdb 0.000 75.542 43.560 0.00456 Incorrect Incorrect
allpdb0211_4_140w.pdb 0.034 27.239 15.150 0.04402 Incorrect Incorrect
allpdb0211_4_127w.pdb 0.059 14.785 9.576 0.11039 Incorrect Incorrect
allpdb0211_4_94w.pdb 0.000 44.691 23.227 0.01302 Incorrect Incorrect
allpdb0211_4_52w.pdb 0.000 68.155 30.021 0.00594 Incorrect Incorrect
allpdb0211_4_184w.pdb 0.034 10.860 7.071 0.15219 Incorrect Incorrect
allpdb0211_4_183w.pdb 0.017 31.434 16.619 0.03101 Incorrect Incorrect
allpdb0211_4_17w.pdb 0.084 20.623 9.577 0.08440 Incorrect Incorrect
allpdb0211_4_3w.pdb 0.000 79.621 44.129 0.00414 Incorrect Incorrect
allpdb0211_4_55w.pdb 0.000 66.706 29.858 0.00616 Incorrect Incorrect
allpdb0211_4_130w.pdb 0.025 21.226 12.949 0.05889 Incorrect Incorrect
allpdb0211_4_76w.pdb 0.000 78.963 29.480 0.00468 Incorrect Incorrect
allpdb0211_4_149w.pdb 0.000 70.239 25.129 0.00599 Incorrect Incorrect
allpdb0211_4_193w.pdb 0.059 10.667 7.085 0.16336 Incorrect Incorrect
allpdb0211_4_138w.pdb 0.067 23.661 11.696 0.06590 Incorrect Incorrect
allpdb0211_4_38w.pdb 0.050 20.812 9.968 0.07184 Incorrect Incorrect
allpdb0211_4_147w.pdb 0.000 40.740 21.276 0.01555 Incorrect Incorrect
allpdb0211_4_1w.pdb 0.000 78.592 38.364 0.00436 Incorrect Incorrect
allpdb0211_4_75w.pdb 0.000 87.587 41.164 0.00355 Incorrect Incorrect
allpdb0211_4_12w.pdb 0.000 85.416 42.723 0.00368 Incorrect Incorrect
allpdb0211_4_8w.pdb 0.000 71.855 32.015 0.00533 Incorrect Incorrect
allpdb0211_4_197w.pdb 0.084 10.860 6.822 0.17001 Incorrect Incorrect
allpdb0211_4_190w.pdb 0.000 81.139 41.158 0.00406 Incorrect Incorrect
allpdb0211_4_96w.pdb 0.000 77.615 43.256 0.00435 Incorrect Incorrect
allpdb0211_4_173w.pdb 0.000 73.736 40.651 0.00482 Incorrect Incorrect
allpdb0211_4_166w.pdb 0.034 14.939 9.085 0.10157 Incorrect Incorrect
allpdb0211_4_189w.pdb 0.210 5.895 3.345 0.35091 Acceptable Acceptable
allpdb0211_4_68w.pdb 0.034 41.194 20.799 0.02654 Incorrect Incorrect
allpdb0211_4_69w.pdb 0.008 25.734 10.594 0.04214 Incorrect Incorrect
allpdb0211_4_154w.pdb 0.034 16.772 7.247 0.09302 Incorrect Incorrect
allpdb0211_4_44w.pdb 0.025 57.113 37.567 0.01616 Incorrect Incorrect
allpdb0211_4_26w.pdb 0.168 4.894 2.650 0.38722 Acceptable Acceptable
allpdb0211_4_49w.pdb 0.008 67.442 41.622 0.00845 Incorrect Incorrect
allpdb0211_4_122w.pdb 0.076 14.277 6.648 0.12860 Incorrect Incorrect
allpdb0211_4_87w.pdb 0.000 95.852 45.037 0.00297 Incorrect Incorrect
allpdb0211_4_86w.pdb 0.000 84.037 45.274 0.00374 Incorrect Incorrect
allpdb0211_4_192w.pdb 0.067 11.005 6.786 0.16249 Incorrect Incorrect
allpdb0211_4_84w.pdb 0.000 83.525 44.840 0.00379 Incorrect Incorrect
allpdb0211_4_146w.pdb 0.008 75.349 35.276 0.00759 Incorrect Incorrect
allpdb0211_4_131w.pdb 0.000 66.385 25.507 0.00653 Incorrect Incorrect
allpdb0211_4_78w.pdb 0.042 51.816 31.007 0.02352 Incorrect Incorrect
allpdb0211_4_107w.pdb 0.000 79.811 35.062 0.00435 Incorrect Incorrect
allpdb0211_4_156w.pdb 0.000 70.973 26.972 0.00574 Incorrect Incorrect
allpdb0211_4_51w.pdb 0.000 77.696 38.304 0.00445 Incorrect Incorrect
allpdb0211_4_62w.pdb 0.000 88.328 39.210 0.00355 Incorrect Incorrect
allpdb0211_4_91w.pdb 0.000 66.161 25.258 0.00658 Incorrect Incorrect
allpdb0211_4_168w.pdb 0.151 7.755 4.652 0.26372 Acceptable Acceptable
allpdb0211_4_98w.pdb 0.042 12.863 6.350 0.13293 Incorrect Incorrect
allpdb0211_4_67w.pdb 0.017 66.247 40.132 0.01147 Incorrect Incorrect
allpdb0211_4_137w.pdb 0.059 21.247 13.307 0.06978 Incorrect Incorrect
allpdb0211_4_83w.pdb 0.000 95.175 44.146 0.00302 Incorrect Incorrect
allpdb0211_4_195w.pdb 0.000 75.068 35.114 0.00483 Incorrect Incorrect
allpdb0211_4_150w.pdb 0.000 78.667 37.210 0.00439 Incorrect Incorrect
allpdb0211_4_16w.pdb 0.000 26.343 18.187 0.03368 Incorrect Incorrect
allpdb0211_4_123w.pdb 0.034 20.133 12.564 0.06632 Incorrect Incorrect
allpdb0211_4_112w.pdb 0.042 19.961 12.931 0.06960 Incorrect Incorrect
allpdb0211_4_121w.pdb 0.000 78.916 34.272 0.00446 Incorrect Incorrect
allpdb0211_4_162w.pdb 0.092 12.437 7.541 0.14962 Incorrect Incorrect
allpdb0211_4_27w.pdb 0.042 9.663 5.337 0.18382 Incorrect Incorrect
allpdb0211_4_153w.pdb 0.000 82.095 39.878 0.00401 Incorrect Incorrect
allpdb0211_4_139w.pdb 0.000 70.306 25.902 0.00592 Incorrect Incorrect
allpdb0211_4_126w.pdb 0.000 77.594 33.685 0.00461 Incorrect Incorrect
allpdb0211_4_100w.pdb 0.017 13.972 6.479 0.11260 Incorrect Incorrect
allpdb0211_4_129w.pdb 0.000 75.311 36.635 0.00475 Incorrect Incorrect
allpdb0211_4_48w.pdb 0.000 78.183 38.137 0.00441 Incorrect Incorrect
allpdb0211_4_71w.pdb 0.000 75.555 35.469 0.00476 Incorrect Incorrect
allpdb0211_4_114w.pdb 0.034 30.284 14.887 0.03890 Incorrect Incorrect
allpdb0211_4_88w.pdb 0.000 83.614 44.941 0.00378 Incorrect Incorrect
allpdb0211_4_79w.pdb 0.017 66.953 42.327 0.01131 Incorrect Incorrect
allpdb0211_4_105w.pdb 0.000 84.532 45.793 0.00369 Incorrect Incorrect
allpdb0211_4_39w.pdb 0.017 65.728 41.686 0.01152 Incorrect Incorrect
allpdb0211_4_148w.pdb 0.025 22.930 13.395 0.05280 Incorrect Incorrect
allpdb0211_4_101w.pdb 0.000 77.969 43.606 0.00431 Incorrect Incorrect
allpdb0211_4_104w.pdb 0.059 19.271 12.219 0.07885 Incorrect Incorrect
allpdb0211_4_74w.pdb 0.000 85.244 45.670 0.00364 Incorrect Incorrect
allpdb0211_4_95w.pdb 0.000 77.736 43.499 0.00433 Incorrect Incorrect
allpdb0211_4_163w.pdb 0.000 79.415 43.809 0.00417 Incorrect Incorrect
allpdb0211_4_169w.pdb 0.000 77.866 44.764 0.00430 Incorrect Incorrect
allpdb0211_4_116w.pdb 0.000 80.256 35.143 0.00430 Incorrect Incorrect
allpdb0211_4_171w.pdb 0.000 74.505 40.712 0.00473 Incorrect Incorrect
allpdb0211_4_182w.pdb 0.000 74.494 40.434 0.00474 Incorrect Incorrect
allpdb0211_4_109w.pdb 0.000 77.155 44.260 0.00438 Incorrect Incorrect
allpdb0211_4_53w.pdb 0.025 59.887 38.595 0.01549 Incorrect Incorrect
allpdb0211_4_133w.pdb 0.034 29.541 16.466 0.03943 Incorrect Incorrect
allpdb0211_4_50w.pdb 0.025 62.510 40.819 0.01490 Incorrect Incorrect
allpdb0211_4_175w.pdb 0.017 13.980 7.753 0.10760 Incorrect Incorrect
allpdb0211_4_180w.pdb 0.000 70.952 27.978 0.00567 Incorrect Incorrect
allpdb0211_4_115w.pdb 0.000 79.033 34.167 0.00445 Incorrect Incorrect
allpdb0211_4_97w.pdb 0.000 94.277 43.581 0.00308 Incorrect Incorrect
allpdb0211_4_102w.pdb 0.050 19.354 12.483 0.07545 Incorrect Incorrect
allpdb0211_4_143w.pdb 0.042 17.852 11.127 0.08156 Incorrect Incorrect
allpdb0211_4_36w.pdb 0.034 65.915 41.973 0.01708 Incorrect Incorrect
allpdb0211_4_54w.pdb 0.000 86.487 41.904 0.00362 Incorrect Incorrect
allpdb0211_4_188w.pdb 0.050 15.114 9.259 0.10543 Incorrect Incorrect
allpdb0211_4_142w.pdb 0.025 16.096 9.902 0.08857 Incorrect Incorrect
allpdb0211_4_199w.pdb 0.000 77.443 37.413 0.00450 Incorrect Incorrect
allpdb0211_4_141w.pdb 0.000 68.724 25.582 0.00616 Incorrect Incorrect
allpdb0211_4_31w.pdb 0.025 66.090 41.952 0.01425 Incorrect Incorrect
allpdb0211_4_145w.pdb 0.025 22.873 13.231 0.05308 Incorrect Incorrect
